Ecell/V,I/mA,Capacity/mA.h
3.8967,-2861.1504,14092.1724
3.8957,-2860.5593,14139.1041
3.8947,-2861.5444,14186.231
3.8937,-2862.9229,14236.0135
3.8926,-2862.9229,14285.1263
3.8925,-2860.9534,14303.8281
3.8954,0,14303.8281
3.8964,0,14303.8281
3.8974,0,14303.8281
3.8984,0,14303.8281
3.8994,0,14303.8281
3.9005,0,14303.8281
3.9015,0,14303.8281
3.8985,-2860.7563,14303.8297
3.8975,-2861.7412,14306.9025
3.8965,-2860.1658,14315.9904
3.8954,-2860.7563,14329.998
3.8944,-2861.9382,14349.5486
3.8934,-2861.7412,14374.5243
3.8924,-2859.9688,14404.6947
3.8913,-2861.3474,14440.2805
3.8903,-2860.3623,14479.5892
3.8892,-2861.3474,14520.5336
3.8882,-2860.9534,14566.4408
3.8872,-2860.5593,14614.2491
3.8862,-2861.5444,14659.5933
3.8852,-2860.7563,14709.0449
3.8841,-2859.9688,14759.1544
3.8839,-2861.3474,14780.6327
3.8868,0,14780.6327
3.8878,0,14780.6327
3.8889,0,14780.6327
3.8899,0,14780.6327
3.8909,0,14780.6327
3.8919,0,14780.6327
3.893,0,14780.6327
3.8902,-2861.1504,14780.6343
3.8891,-2862.135,14783.0585
3.8881,-2861.9382,14791.9491
3.887,-2861.5444,14805.6848
3.886,-2860.9534,14824.431
3.885,-2862.135,14848.472
3.884,-2861.9382,14877.8087
3.8829,-2862.135,14912.1341
3.8819,-2861.1504,14951.8094
3.8809,-2861.5444,14992.857
3.8798,-2861.1504,15036.114
3.8788,-2860.3623,15082.0451
3.8778,-2861.1504,15128.9659
3.8768,-2861.9382,15177.7043
3.8757,-2860.3623,15228.7879
3.8753,-2860.3623,15257.4479
3.8782,0,15257.4479
3.8792,0,15257.4479
3.8802,0,15257.4479
3.8813,0,15257.4479
3.8823,0,15257.4479
3.8833,0,15257.4479
3.8843,0,15257.4479
3.8817,-2861.3474,15257.4495
3.8807,-2860.3623,15260.12
3.8797,-2861.3474,15268.7691
3.8787,-2860.9534,15282.1677
3.8776,-2860.9534,15299.9153
3.8766,-2861.1504,15323.8288
3.8756,-2861.7412,15353.2277
3.8746,-2861.3474,15384.251
3.8735,-2861.3474,15423.4143
3.8725,-2861.1504,15464.078
3.8715,-2861.3474,15506.6106
3.8705,-2860.7563,15549.7238
3.8694,-2860.7563,15598.1843
3.8684,-2861.1504,15642.9793
3.8674,-2860.9534,15694.4317
3.8667,-2861.9382,15734.2452
3.8697,0,15734.2452
3.8707,0,15734.2452
3.8717,0,15734.2452
3.8728,0,15734.2452
3.8738,0,15734.2452
3.8748,0,15734.2452
3.8758,0,15734.2452
